House_Number,Road,Town,Postcode,Latitude,Longitude,Bedrooms,Bathrooms,Currently_For_Sale,Month,Year,Price,Rightmove_Link,EPC_Rating,EPC_Score,EPC_Potential_Rating,EPC_Potential_Score,EPC_Certificate_Number,EPC_Link,Floor_Area_(m^2),Floor_Area_(ft^2),Property_Type
28,Orme Road,Bangor,LL57 1AY,53.23116218164470,-4.12143492591120,3,,No,3,2010,148000,https://www.rightmove.co.uk/house-prices/details/england-21975919-52607685?s=308a8bb27863b0f5083843fd6fa43151cb58adf3c57848940bfffd99900a2de5#/,C,73,B,89,0210-2918-7390-2727-9181,https://find-energy-certificate.service.gov.uk/energy-certificate/0210-2918-7390-2727-9181,74,797,Mid-terrace
29,Orme Road,Bangor,LL57 1AY,53.23109926614700,-4.12107389533698,5,2,No,9,2013,127000,https://www.rightmove.co.uk/house-prices/details/england-141034088-52607709?s=f5f0cbc5bfc8598817295a9ec915e10ea53be7437ec8b91f5dcc231874ffae49#/,C,74,B,86,9330-2080-1390-2327-6215,https://find-energy-certificate.service.gov.uk/energy-certificate/9330-2080-1390-2327-6215,112,1206,Mid-terrace
30,Orme Road,Bangor,LL57 1AY,53.23120506176260,-4.12141741350661,3,1,No,8,2022,147000,https://www.rightmove.co.uk/house-prices/details/england-116357168-15904276?s=3acc743960b294fa341f98c9cd370838316f38080d4da248c2a583eff29f2229#/,C,73,B,89,9621-2900-1209-7419-3204,https://find-energy-certificate.service.gov.uk/energy-certificate/9621-2900-1209-7419-3204,81,872,Mid-terrace
31,Orme Road,Bangor,LL57 1AY,53.23114287872240,-4.12105024093802,5,2,No,1,2014,142500,https://www.rightmove.co.uk/house-prices/details/england-127737473-52607715?s=059927937d089d8bd2bd300e6c97e3a26e4ff1cbad30b4fc1296b1d863e6abde#/,C,71,B,87,2622-8728-1300-0124-1202,https://find-energy-certificate.service.gov.uk/energy-certificate/2622-8728-1300-0124-1202,86,926,Mid-terrace
32,Orme Road,Bangor,LL57 1AY,53.23124491428430,-4.12137237627738,3,1,No,2,2018,120000,https://www.rightmove.co.uk/house-prices/details/england-62201191-7776598?s=d587d99b725f8a771e57e008240372d19d2bfeff8c87c45d9033c0735beab3fd#/,D,60,B,90,9778-2043-7294-5113-2980,https://find-energy-certificate.service.gov.uk/energy-certificate/9778-2043-7294-5113-2980,81,872,Mid-terrace
33,Orme Road,Bangor,LL57 1AY,53.23118312470670,-4.12100835671559,2,1,No,12,2020,130000,https://www.rightmove.co.uk/house-prices/details/england-93844844-14994370?s=43cc6393cab34a05e8aba2575f95f60e572bb5c29640027163b75be7ec575d54#/,D,60,B,85,9178-5028-7262-6490-0260,https://find-energy-certificate.service.gov.uk/energy-certificate/9178-5028-7262-6490-0260,78,840,Mid-terrace
34,Orme Road,Bangor,LL57 1AY,53.23128945524660,-4.12134104613418,4,1,No,11,2018,133000,https://www.rightmove.co.uk/house-prices/details/england-74182790-8392408?s=16435f6c03b1c0de8b1031d7f69aed804d0ee59a7e7450ebc861fd84c42a72a3#/,D,58,B,88,0270-2119-1040-2329-2025,https://find-energy-certificate.service.gov.uk/energy-certificate/0270-2119-1040-2329-2025,79,850,Mid-terrace
35,Orme Road,Bangor,LL57 1AY,53.23122600977130,-4.12097198346797,3,1,No,10,2016,105000,https://www.rightmove.co.uk/house-prices/details/england-140881562-4557853?s=cde2f90a749414d6baff18feb7bc918af75516acfc1fd19c7c3f54648c724af2#/,D,64,B,86,8656-7428-4000-6658-6906,https://find-energy-certificate.service.gov.uk/energy-certificate/8656-7428-4000-6658-6906,81,872,Mid-terrace
36,Orme Road,Bangor,LL57 1AY,53.23133165194140,-4.12130971591271,4,1,No,7,2018,133000,https://www.rightmove.co.uk/house-prices/details/england-71038295-7483117?s=4380976e4accafb79c38ca3c183e050ebbbbf7571944a19a354d95431349b6fa#/,E,45,B,85,8858-6821-9830-9461-7996,https://find-energy-certificate.service.gov.uk/energy-certificate/8858-6821-9830-9461-7996,109,1173,Mid-terrace
37,Orme Road,Bangor,LL57 1AY,53.23127307374810,-4.12093112727484,5,,No,9,2005,146000,https://www.rightmove.co.uk/house-prices/details/england-36732455-52607652?s=9f6f26da635a09aa35f5d7c87d721374c0aafb3bd1487e2c5e6b58a3648baf80#/,E,49,B,83,0031-2200-1409-7318-3804,https://find-energy-certificate.service.gov.uk/energy-certificate/0031-2200-1409-7318-3804,105,1130,Mid-terrace
38,Orme Road,Bangor,LL57 1AY,53.23137502077820,-4.12126859482465,,,,,,,,D,55,C,75,1229-1328-7000-0115-0202,https://find-energy-certificate.service.gov.uk/energy-certificate/1229-1328-7000-0115-0202,86,926,Mid-terrace
39,Orme Road,Bangor,LL57 1AY,53.23131502624450,-4.12089608388087,3,1,No,10,2022,176000,https://www.rightmove.co.uk/house-prices/details/england-124053941-17084998?s=6aa73ad3b2ca3b62c9ad5057616d5ddd6242c881b5a18956e1c24165dccc9c16#/,D,58,B,83,1000-7387-0122-6001-2393,https://find-energy-certificate.service.gov.uk/energy-certificate/1000-7387-0122-6001-2393,89,958,Mid-terrace
40,Orme Road,Bangor,LL57 1AY,53.23141487321500,-4.12122747363648,3,,No,4,2012,143500,https://www.rightmove.co.uk/house-prices/details/england-21701670-52607703?s=2a8e9b4100b1b23f87a53016c99bf19289bc458137e359f97b513f0ebbdee21b#/,C,69,B,84,9241-2900-1202-7219-3200,https://find-energy-certificate.service.gov.uk/energy-certificate/9241-2900-1202-7219-3200,70,753,Mid-terrace
