House_Number,Road,Town,Postcode,Latitude,Longitude,Bedrooms,Bathrooms,Currently_For_Sale,Month,Year,Price,Rightmove_Link,EPC_Rating,EPC_Score,EPC_Potential_Rating,EPC_Potential_Score,EPC_Certificate_Number,EPC_Link,Floor_Area_(m^2),Floor_Area_(ft^2),Property_Type
86,Orme Road,Bangor,LL57 1AU,53.23243489536900,-4.12030703619398,4,2,No,10,2015,114000,https://www.rightmove.co.uk/house-prices/details/england-48126521-52607517?s=8e60790985d23bc7c25c9ee3044aaa7fea6c51ecdaf4409c3e2b63eae90b262c#/,D,57,B,84,8827-7122-0010-7576-9996,https://find-energy-certificate.service.gov.uk/energy-certificate/8827-7122-0010-7576-9996,89,958,Mid-terrace
87,Orme Road,Bangor,LL57 1AU,53.23232270730590,-4.11996174677344,,,,,,,,,,,,,https://find-energy-certificate.service.gov.uk/energy-certificate/,,,
88,Orme Road,Bangor,LL57 1AU,53.23246861074670,-4.12026680298575,3,2,No,5,2016,152700,https://www.rightmove.co.uk/house-prices/details/england-141034100-52607523?s=28c5a61ea20e8d226344cc8daede1d83dc9d8035ed1f2ade22f7ceac04c9c9e4#/,D,66,B,90,2648-6020-7256-0944-8920,https://find-energy-certificate.service.gov.uk/energy-certificate/2648-6020-7256-0944-8920,112,1206,Mid-terrace
89,Orme Road,Bangor,LL57 1AU,53.23236776795750,-4.11992632045048,3,1,No,4,2019,85000,https://www.rightmove.co.uk/house-prices/details/england-69022690-9724960?s=e3e699ef5a808e2ce51a94c70fb27e0d32b743d92908cc8762123ca9596a49ee#/,D,63,B,86,9448-3057-7241-6508-3960,https://find-energy-certificate.service.gov.uk/energy-certificate/9448-3057-7241-6508-3960,89,958,Mid-terrace
90,Orme Road,Bangor,LL57 1AU,53.23250714259530,-4.12023729858637,4,,No,3,2011,150000,https://www.rightmove.co.uk/house-prices/details/england-127874867-52607487?s=3d5eb9bbb3b849de778801c99109cafff1b3dee043f76244600011ae3f2c174b#/,D,61,B,83,9270-2110-1090-2320-9091,https://find-energy-certificate.service.gov.uk/energy-certificate/9270-2110-1090-2320-9091,115,1238,Mid-terrace
91,Orme Road,Bangor,LL57 1AU,53.23239957544900,-4.11989089413671,4,1,No,12,2021,118500,https://www.rightmove.co.uk/house-prices/details/england-115083038-92682045?s=ece044de3768c571b586b7eb5bf5679e8f8443c1d43681d74972c2b4e7b39369#/,C,70,B,88,0650-2877-7752-9708-2121,https://find-energy-certificate.service.gov.uk/energy-certificate/0650-2877-7752-9708-2121,69,743,Mid-terrace
92,Orme Road,Bangor,LL57 1AU,53.23255209641560,-4.12020779412612,4,1,No,6,1998,53500,https://www.rightmove.co.uk/house-prices/details/england-62951982-52607331?s=df0f4d720cdd41ab53d1f3127a0c6aa735d328f2b460c6e5e5ac2580c082099e#/,D,62,B,85,8615-7622-3890-4328-5996,https://find-energy-certificate.service.gov.uk/energy-certificate/8615-7622-3890-4328-5996,85,915,Mid-terrace
93,Orme Road,Bangor,LL57 1AU,53.23242270369770,-4.11983925784978,,,,,,,,D,58,B,87,0026-2816-7374-9424-6701,https://find-energy-certificate.service.gov.uk/energy-certificate/0026-2816-7374-9424-6701,76,818,Mid-terrace
94,Orme Road,Bangor,LL57 1AU,53.23258581176560,-4.12016756072580,5,,No,6,2010,151000,https://www.rightmove.co.uk/house-prices/details/england-29374773-52607484?s=2914a2f21804c5612474e8ec7691b5c211de39ecf9c907f31fbfa6ed54d4ac36#/,D,67,B,85,1320-1320-7009-0187-0226,https://find-energy-certificate.service.gov.uk/energy-certificate/1320-1320-7009-0187-0226,91,980,Mid-terrace
95,Orme Road,Bangor,LL57 1AU,53.23246071234270,-4.11980069505082,2,,No,10,2006,130000,https://www.rightmove.co.uk/house-prices/details/england-139928921-52607445?s=9ebacef58d1aacf722ae794139241b8bddae34e98b0b26ecd21353663ba6f490#/,D,62,B,87,8005-9775-0722-5106-2703,https://find-energy-certificate.service.gov.uk/energy-certificate/8005-9775-0722-5106-2703,68,732,Mid-terrace
96,Orme Road,Bangor,LL57 1AU,53.23261792161850,-4.12013269171752,4,2,No,5,2021,145000,https://www.rightmove.co.uk/house-prices/details/england-75820536-12373708?s=ecfbca685416bf0169b1b31ae93ed319cf03a4fe155001b42481eae19450ddbc#/,D,66,B,88,8209-5465-2729-8897-5483,https://find-energy-certificate.service.gov.uk/energy-certificate/8209-5465-2729-8897-5483,86,926,Mid-terrace
97,Orme Road,Bangor,LL57 1AU,53.23249863293050,-4.11976760299022,3,?,No,8,2013,124000,https://www.rightmove.co.uk/house-prices/details/england-31081542-52607508?s=3daab64db39afca3d30b97d40e0df973ffd55803b5410988ddc0d2dcc3701ef1#/,F,25,B,89,8527-7024-0980-4739-2902,https://find-energy-certificate.service.gov.uk/energy-certificate/8527-7024-0980-4739-2902,74,797,Mid-terrace
98,Orme Road,Bangor,LL57 1AU,53.23265645343200,-4.12009245817299,,,No,11,2011,135000,https://www.rightmove.co.uk/house-prices/details/england-52607490?s=e30b78dbea4d7c84f5aaed8f54210aa37ec16a530d2d713d18ab706ad4039729#/,D,64,B,86,8300-6626-7980-7545-6292,https://find-energy-certificate.service.gov.uk/energy-certificate/8300-6626-7980-7545-6292,71,764,Mid-terrace
99,Orme Road,Bangor,LL57 1AU,53.23253493923380,-4.11973455481193,3,,No,5,1996,41000,https://www.rightmove.co.uk/house-prices/details/england-140946338-52607307?s=ac61fccd60e28969382d61f98a4665b5c9124e98601362619ab88a78354efb15#/,C,70,B,87,0656-2821-6139-9908-5321,https://find-energy-certificate.service.gov.uk/energy-certificate/0656-2821-6139-9908-5321,77,829,Mid-terrace
100,Orme Road,Bangor,LL57 1AU,53.23269819625010,-4.12006831792485,,,No,4,2006,145000,https://www.rightmove.co.uk/house-prices/details/england-52607439?s=f5ffe33fe8f7db7687afc5afdadd62f7bcacd35a9cae90594b9f637d23164b53#/,,,,,,https://find-energy-certificate.service.gov.uk/energy-certificate/,,,
101,Orme Road,Bangor,LL57 1AU,53.23257452443150,-4.11970143515398,3,1,No,10,2016,124000,https://www.rightmove.co.uk/house-prices/details/england-57609119-4557850?s=57ef0484d2d91568956f70578ef6261796b050ea2af541dec1e73fe218a66150#/,C,71,B,87,9727-0723-1300-0180-1296,https://find-energy-certificate.service.gov.uk/energy-certificate/9727-0723-1300-0180-1296,79,850,Mid-terrace
102,Orme Road,Bangor,LL57 1AU,53.23273512253190,-4.12001467307784,4,2,No,3,2019,144000,https://www.rightmove.co.uk/house-prices/details/england-70181797-9242515?s=5c326caf9414f4c8fa2b2a15c249115e8264360dff03ff6a137da78bf16d2a24#/,D,62,B,85,8002-4868-4729-3906-4253,https://find-energy-certificate.service.gov.uk/energy-certificate/8002-4868-4729-3906-4253,99,1066,Mid-terrace
103,Orme Road,Bangor,LL57 1AU,53.23263725010390,-4.11968995884769,,,No,2,2006,144000,https://www.rightmove.co.uk/house-prices/details/england-52607433?s=d8b195dae3e1f22f194a88413ff403085d5b7e240b3419bc9376f734fd5851de#/,D,66,B,82,1229-1329-7000-0155-0222,https://find-energy-certificate.service.gov.uk/energy-certificate/1229-1329-7000-0155-0222,77,829,Mid-terrace
104,Orme Road,Bangor,LL57 1AU,53.23277525984000,-4.11998516823853,4,2,No,5,2021,131750,https://www.rightmove.co.uk/house-prices/details/england-12373711?s=fbd6b721cac359f0e67bd7bd39116fd172f2fa21522bfde032f6ea1472f5612b#/,D,62,C,80,0832-2871-7760-9125-4941,https://find-energy-certificate.service.gov.uk/energy-certificate/0832-2871-7760-9125-4941,85,915,Mid-terrace
105,Orme Road,Bangor,LL57 1AU,53.23266829743340,-4.11966059872888,,,No,8,2001,60000,https://www.rightmove.co.uk/house-prices/details/england-52607379?s=f5073f0ff5001cf226b0ac8d51de5b1dcf457719c68a92394d8b932dd7200ded#/,,,,,,https://find-energy-certificate.service.gov.uk/energy-certificate/,,,
106,Orme Road,Bangor,LL57 1AU,53.23281700264900,-4.11995834556769,5,2,No,4,2018,135000,https://www.rightmove.co.uk/house-prices/details/england-76835397-6923824?s=df0d82d89ef671b68f9ca66c8b562c39d46e7df6781b41eeb2e9af4d231f1bdb#/,D,58,C,80,1020-2397-0111-9001-2943,https://find-energy-certificate.service.gov.uk/energy-certificate/1020-2397-0111-9001-2943,110,1184,Mid-terrace
107,Orme Road,Bangor,LL57 1AU,53.23270520276440,-4.11965374795999,2,,No,8,2001,54950,https://www.rightmove.co.uk/house-prices/details/england-142494929-52607376?s=33b1ef6d6d9e5d14d945838778ba06c4a4399b4ba2069177e3b162dd0ebc926d#/,D,66,B,89,0254-2883-7456-9198-8731,https://find-energy-certificate.service.gov.uk/energy-certificate/0254-2883-7456-9198-8731,64,689,Mid-terrace
108,Orme Road,Bangor,LL57 1AU,53.23286837841010,-4.11992347603333,5,,No,8,2006,170000,https://www.rightmove.co.uk/house-prices/details/england-141671258-52607442?s=1618e90c23dc17da129ba91c3450fe44d4e675c948503c37e8f8438cdd45bcf7#/,D,63,B,85,6100-7711-0122-6321-2123,https://find-energy-certificate.service.gov.uk/energy-certificate/6100-7711-0122-6321-2123,128,1378,End-terrace
109,Orme Road,Bangor,LL57 1AU,53.23274269387950,-4.11963025977164,,,No,8,1995,41000,https://www.rightmove.co.uk/house-prices/details/england-52607301?s=cca05d2041867c83e4f7642ccbeacd30b1dc55f5335f2620c0e4678fa535f741#/,,,,,,https://find-energy-certificate.service.gov.uk/energy-certificate/,,,End-terrace
